City_ID,City,County,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Nikolayevsk-Na-Amure,RU,53.1406,140.73,70.9,34,0,3.71,clear sky
247,Itarema,BR,-2.9248,-39.9167,78.73,73,56,18.37,broken clouds
248,Vydrino,RU,51.485,104.8461,43.93,90,100,6.15,overcast clouds
249,Maun,BW,-19.9833,23.4167,69.76,23,0,8.05,clear sky
250,Saint George,US,37.1041,-113.5841,90.79,22,1,1.01,clear sky
251,Eydhafushi,MV,5.1033,73.0708,82.45,76,99,13.0,light rain
252,Yagodnoye,RU,62.55,149.6667,60.15,42,92,14.72,overcast clouds
253,Qui Nhon,VN,13.7667,109.2333,78.53,88,100,11.68,overcast clouds
254,Lodja,CD,-3.4833,23.4333,69.08,97,61,1.9,light rain
255,Kahului,US,20.8947,-156.47,80.62,65,40,18.41,scattered clouds
256,Poltavka,RU,54.3663,71.7632,64.78,40,100,14.45,overcast clouds
257,Mar Del Plata,AR,-38.0023,-57.5575,53.62,94,0,11.5,clear sky
258,Nago,JP,26.5881,127.9761,90.03,66,70,1.1,broken clouds
259,Talakan,RU,50.3167,130.3667,72.39,53,100,8.95,overcast clouds
260,Sept-Iles,CA,50.2001,-66.3821,57.72,97,90,5.75,overcast clouds
261,Aklavik,CA,68.2191,-135.0107,43.63,90,92,1.81,overcast clouds
262,Aksehir,TR,38.3575,31.4164,58.6,54,33,7.09,scattered clouds
263,Igarka,RU,67.4667,86.5833,53.37,56,22,13.0,few clouds
264,Palmer,US,42.1584,-72.3287,63.01,75,1,5.75,clear sky
265,Butterworth,MY,5.3991,100.3638,91.44,69,20,8.05,few clouds
266,Piacabucu,BR,-10.4056,-36.4344,75.47,75,85,7.31,overcast clouds
267,Muborak,UZ,39.2553,65.1528,93.94,12,0,13.58,clear sky
268,Qandala,SO,11.472,49.8728,91.69,50,98,1.59,overcast clouds
269,Sasebo,JP,33.1592,129.7228,85.98,70,100,11.12,light rain
270,Dunedin,NZ,-45.8742,170.5036,48.79,84,83,10.0,moderate rain
271,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.37,81,60,9.42,broken clouds
272,Puerto El Triunfo,SV,13.2833,-88.55,85.12,88,97,3.83,heavy intensity rain
273,Zhigansk,RU,66.7697,123.3711,60.85,37,43,1.57,scattered clouds
274,Gamba,GA,-2.65,10.0,74.19,76,100,2.93,overcast clouds
275,Sishui,CN,35.6489,117.2758,76.82,57,86,4.56,light rain
276,Coihaique,CL,-45.5752,-72.0662,39.15,81,0,6.91,clear sky
277,Ruston,US,32.5232,-92.6379,69.49,94,1,3.06,clear sky
278,Zavyalovo,RU,54.5053,82.4484,68.25,69,0,6.53,clear sky
279,Vaxjo,SE,56.8777,14.8091,48.25,100,90,2.3,fog
